,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_usage,net_gen
10260,58464,Broadview Energy Prime LLC,BayWa r.e Wind LLC,57421,NM,MTN,WT,317284,36166.0
10261,58465,Broadview Energy Prime 2 LLC,BayWa r.e Wind LLC,57421,NM,MTN,WT,314574,35857.0
10268,58474,Buffalo Dunes Wind Project,Buffalo Dunes Wind Project LLC,58461,KS,WNC,WT,8542903,973772.0
10311,58511,Delta Wind Farm,Alaska Environmental Power,58488,AK,PACN,WT,33767,3849.0
10348,58548,Huerfano River Wind,"Huerfano River Wind, LLC",58520,CO,MTN,WT,136366,15544.0
10371,58571,Tucannon River Wind Farm,Portland General Electric Co,15248,WA,PACC,WT,8261806,941731.0
10379,58580,Pheasant Run Wind LLC,Pheasant Run Wind LLC,58539,MI,ENC,WT,2281288,260035.0
10390,58587,Tuscola Wind II LLC,Tuscola Wind II LLC,58545,MI,ENC,WT,2661650,303391.0
10399,58594,Steele Flats Wind Project LLC,Steele Flats Wind Project LLC,58551,NE,WNC,WT,2772952,316078.0
10401,58596,"Grandview Wind Farm, LLC",RWE Renewables Americas LLC,56215,TX,WSC,WT,7784511,887326.0
10412,58608,Saddleback Ridge Wind Farm,"Saddleback Ridge Wind, LLC",58565,ME,NEW,WT,841795,95953.0
10417,58614,Patriot Wind Farm,Avangrid Renewables LLC,15399,TX,WSC,WT,4669658,532276.0
10424,58620,Canton Mountain Wind,Canton Mountain Wind LLC,58574,ME,NEW,WT,508842,58001.0
10436,58630,RP Wind,Consolidated Edison Solutions Inc,57365,OH,ENC,WT,71148,8110.0
10459,58657,Odell Wind Farm,Algonquin Power Co,59050,MN,WNC,WT,6977842,795377.0
10460,58658,Courtenay Wind Farm,Northern States Power Co - Minnesota,13781,ND,WNC,WT,6162734,702466.0
10463,58661,Cape Cod Air Force Station - 6 SWS,US Air Force,58604,MA,NEW,WT,75686,8627.0
10467,58666,Alexander Wind Farm LLC,SRIV Partnership LLC,62042,KS,WNC,WT,1885318,214900.0
10476,58677,Gratiot County Wind LLC,Invenergy Services LLC,49893,MI,ENC,WT,2382923,271620.0
10480,58681,Route 66 Wind Plant,Onward Energy,60453,TX,WSC,WT,4420347,503858.0
10482,58683,"Osage Wind, LLC","Enel Green Power NA, Inc.",59380,OK,WSC,WT,4905905,559205.0
10485,58686,Hancock Wind Plant,Onward Energy,60453,ME,NEW,WT,1162958,132561.0
10489,58690,Apple Blossom Wind Farm,"Apple Blossom Wind, LLC",60456,MI,ENC,WT,2359901,268996.0
10490,58691,South Fork Wind Farm,"South Fork Wind, LLC",60458,MN,WNC,WT,416920,47523.0
10491,58692,Black Oak Wind Farm,"Black Oak Wind, LLC",58625,MN,WNC,WT,2624433,299149.0
10492,58694,Walnut Ridge Wind Farm,"BHE Renewables, LLC",59359,IL,ENC,WT,6815882,776916.0
10493,58695,Grande Prairie Wind Farm,"BHE Renewables, LLC",59359,NE,WNC,WT,13619344,1552416.0
10520,58719,Brookfield,DTE Electric Company,5109,MI,ENC,WT,2232305,254452.0
10521,58720,Pattern Panhandle Wind 2 LLC,Pattern Operators LP,56545,TX,WSC,WT,5824840,663951.0
10550,58765,Miami Wind Energy Center,Invenergy Services LLC,49893,TX,WSC,WT,9763392,1112891.0
10551,58766,Wake Wind Energy Center,Southern Power Co,17650,TX,WSC,WT,10102986,1151600.0
10552,58767,Buckeye Wind Energy Center,Invenergy Services LLC,49893,KS,WNC,WT,7208065,821619.0
10553,58768,Marsh Hill Wind Farm,Invenergy Services LLC,49893,NY,MAT,WT,436026,49701.0
10554,58769,Spring Canyon Expansion Wind Energy Ctr,NRG Yield LLC,60015,CO,MTN,WT,2138032,243706.0
