,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_type,fuel_usage,net_gen
3102,4266,Spencer,City of Garland - (TX),6958,TX,WSC,ST,NG,11479.008,2455.0
3103,4270,Waterford 3,Entergy Louisiana LLC,11241,LA,WSC,ST,NUC,27433995.439,8961217.0
3104,4271,John P Madgett,Dairyland Power Coop,4716,WI,ENC,ST,DFO,11425.376,3256.347
3105,4271,John P Madgett,Dairyland Power Coop,4716,WI,ENC,ST,SUB,4949611.656,1423544.7
3106,4937,Thomas C Ferguson,Lower Colorado River Authority,11269,TX,WSC,CA,NG,0.0,1332921.0
3107,4937,Thomas C Ferguson,Lower Colorado River Authority,11269,TX,WSC,CT,NG,7092125.006,2251276.0
3108,4939,Barney M Davis,"Talen Texas, LLC",49979,TX,WSC,CA,NG,185035.695,111610.0
3109,4939,Barney M Davis,"Talen Texas, LLC",49979,TX,WSC,CT,NG,2375082.535,1024458.0
3110,4939,Barney M Davis,"Talen Texas, LLC",49979,TX,WSC,ST,NG,351625.205,91959.0
3111,4940,Riverside (OK),Public Service Co of Oklahoma,15474,OK,WSC,GT,NG,128586.397,33208.0
3112,4940,Riverside (OK),Public Service Co of Oklahoma,15474,OK,WSC,IC,DFO,0.0,0.0
3113,4940,Riverside (OK),Public Service Co of Oklahoma,15474,OK,WSC,ST,DFO,15.24,0.0
3114,4940,Riverside (OK),Public Service Co of Oklahoma,15474,OK,WSC,ST,NG,1065383.384,303662.0
3115,5083,Cumberland (NJ),Calpine New Jersey Generation LLC,56606,NJ,MAT,GT,KER,8742.896,2833.761
3116,5083,Cumberland (NJ),Calpine New Jersey Generation LLC,56606,NJ,MAT,GT,NG,200475.266,64979.239
3117,6000,Donald C Cook,Indiana Michigan Power Co,9324,MI,ENC,ST,NUC,30500821.534,9962985.0
3118,6000,Donald C Cook,Indiana Michigan Power Co,9324,MI,ENC,ST,NUC,25420941.252,8303660.0
3119,6001,Joseph M Farley,Alabama Power Co,195,AL,ESC,ST,NUC,21348409.249,6973382.0
3120,6001,Joseph M Farley,Alabama Power Co,195,AL,ESC,ST,NUC,23886422.887,7802415.0
3121,6002,James H Miller Jr,Alabama Power Co,195,AL,ESC,ST,DFO,0.0,0.0
3122,6002,James H Miller Jr,Alabama Power Co,195,AL,ESC,ST,NG,638239.626,216774.49
3123,6002,James H Miller Jr,Alabama Power Co,195,AL,ESC,ST,SUB,47694097.871,16228030.0
3124,6004,Pleasants Power Station,Energy Harbor Generation LLC,64226,WV,SAT,ST,BIT,66785.915,13083.439
3125,6004,Pleasants Power Station,Energy Harbor Generation LLC,64226,WV,SAT,ST,NG,77153.304,9658.047
3126,6004,Pleasants Power Station,Energy Harbor Generation LLC,64226,WV,SAT,ST,PC,0.0,0.0
3127,6004,Pleasants Power Station,Energy Harbor Generation LLC,64226,WV,SAT,ST,RC,15475717.505,4859472.5
3128,6006,Racine,AEP Generation Resources Inc,58620,OH,ENC,HY,WAT,320357.745,124599.0
3129,6008,Palo Verde,Arizona Public Service Co,803,AZ,MTN,ST,NUC,34494736.929,11267583.0
3130,6008,Palo Verde,Arizona Public Service Co,803,AZ,MTN,ST,NUC,32041900.881,10466373.0
3131,6008,Palo Verde,Arizona Public Service Co,803,AZ,MTN,ST,NUC,30058423.134,9818477.0
3132,6009,White Bluff,Entergy Arkansas LLC,814,AR,WSC,ST,DFO,42202.82,12745.105
3133,6009,White Bluff,Entergy Arkansas LLC,814,AR,WSC,ST,SUB,12287198.923,3942162.9
3134,6011,Calvert Cliffs Nuclear Power Plant,Exelon Nuclear,55951,MD,SAT,ST,NUC,23601080.98,7709209.0
3135,6011,Calvert Cliffs Nuclear Power Plant,Exelon Nuclear,55951,MD,SAT,ST,NUC,22566747.89,7371348.0
3136,6012,Sherman,"Great River Hydro, LLC",61122,MA,NEW,HY,WAT,71096.404,27652.0
3137,6013,Olive,City of Burbank Water and Power,2507,CA,PACC,ST,NG,0.0,0.0
3138,6014,Brunswick Nuclear,Duke Energy Progress - (NC),3046,NC,SAT,ST,NUC,24762094.041,8088450.0
3139,6014,Brunswick Nuclear,Duke Energy Progress - (NC),3046,NC,SAT,ST,NUC,21178157.817,6917770.0
3140,6015,Harris,Duke Energy Progress - (NC),3046,NC,SAT,ST,NUC,25335016.331,8275593.0
3141,6016,Duck Creek,Illinois Power Resources Generating LLC,49756,IL,ENC,ST,BIT,0.0,0.0
3142,6016,Duck Creek,Illinois Power Resources Generating LLC,49756,IL,ENC,ST,DFO,0.0,0.0
3143,6016,Duck Creek,Illinois Power Resources Generating LLC,49756,IL,ENC,ST,RC,0.0,0.0
3144,6016,Duck Creek,Illinois Power Resources Generating LLC,49756,IL,ENC,ST,SUB,0.0,0.0
3145,6017,Newton,Illinois Power Generating Co,520,IL,ENC,ST,BIT,0.0,0.0
3146,6017,Newton,Illinois Power Generating Co,520,IL,ENC,ST,DFO,13047.524,-1253.378
3147,6017,Newton,Illinois Power Generating Co,520,IL,ENC,ST,RC,8144074.012,2593333.3
3148,6017,Newton,Illinois Power Generating Co,520,IL,ENC,ST,SUB,125485.412,39841.091
3149,6018,East Bend,Duke Energy Kentucky Inc,55729,KY,ESC,ST,BIT,7394614.208,2272710.6
3150,6018,East Bend,Duke Energy Kentucky Inc,55729,KY,ESC,ST,DFO,32697.646,1329.369
3151,6019,W H Zimmer,Dynegy W H Zimmer,59920,OH,ENC,ST,BIT,0.0,0.0
